NOMBRE                        TIPODATO                      VALOR                         LONGITUD                      
a                             INTEGER                       --                            1
b                             INTEGER                       --                            1
c                             INTEGER                       --                            1
i                             INTEGER                       --                            1
x                             INTEGER                       --                            1
cadena                        STRING                        --                            6
f1                            FLOAT                         --                            2
f2                            FLOAT                         --                            2
f3                            FLOAT                         --                            2
_3.25                         CONS_FLOAT                    3.25                          4
_5                            CONS_INT                      5                             1
_6                            CONS_INT                      6                             1
_30                           CONS_INT                      30                            2
_31                           CONS_INT                      31                            2
_10                           CONS_INT                      10                            2
_Else                         CONS_STR                      Else                          4
_7                            CONS_INT                      7                             1
_40                           CONS_INT                      40                            2
_41                           CONS_INT                      41                            2
_120                          CONS_INT                      120                           3
_1                            CONS_INT                      1                             1
_100                          CONS_INT                      100                           3
_menor                        CONS_STR                      menor                         5
_mayor                        CONS_STR                      mayor                         5
_primero                      CONS_STR                      primero                       7
_4                            CONS_INT                      4                             1
_9                            CONS_INT                      9                             1
_3.33                         CONS_FLOAT                    3.33                          4
_2                            CONS_INT                      2                             1
_15                           CONS_INT                      15                            2
_si BETWEEN                   CONS_STR                      si BETWEEN                    10
_no BETWEEN                   CONS_STR                      no BETWEEN                    10
_12                           CONS_INT                      12                            2
_34                           CONS_INT                      34                            2
_48                           CONS_INT                      48                            2
_si INLIST                    CONS_STR                      si INLIST                     9
_no INLIST                    CONS_STR                      no INLIST                     9
_una cadena                   CONS_STR                      una cadena                    10
_ewr                          CONS_STR                      ewr                           3
@aux1                         FLOAT                         --                            5
@aux2                         FLOAT                         --                            5
@aux3                         FLOAT                         --                            5
@aux4                         FLOAT                         --                            5
@aux5                         FLOAT                         --                            5
@aux6                         FLOAT                         --                            5
@aux7                         FLOAT                         --                            5
@aux8                         FLOAT                         --                            5
@aux9                         FLOAT                         --                            5
@aux10                        FLOAT                         --                            6
@aux11                        FLOAT                         --                            6
